"date";"maxO3";"T6";"T9";"T12";"T15";"T18";"Ne6";"Ne9";"Ne12";"Ne15";"Ne18";"Vx";"maxO3v"
"1";19940401;56;8.6;9.5;6.8;9.1;7.7;6;3;6;7;"4";-10.8329;59.6
"2";19940402;39.2;3.6;5.6;9.2;8.4;4.9;3;4;6;7;"7";-10.3366;56
"3";19940403;36;2.7;7.3;6.3;7;7.9;6;8;8;8;"8";-1.0419;39.2
"4";19940404;41.2;11.8;11.8;11;7;7.7;8;7;6;7;"3";-10.3366;36
"5";19940405;27.6;3.7;8.3;11.6;10.7;7.9;6;3;6;6;"6";-8.8633;41.2
"6";19940406;38.2;6;9.8;11.9;11.6;9.3;4;6;7;8;"8";-5.6382;27.6
"7";19940407;44.6;7.9;9.6;9.5;10.2;8.9;8;7;3;6;"6";-6.4279;38.2
"8";19940408;53.8;5;8.7;10;9.7;9;4;8;8;8;"8";-3.2139;44.6
"9";19940409;45.4;5;8.2;8.8;7.7;6.1;7;7;6;7;"6";-9;53.8
"10";19940410;49.2;6.2;6.4;7.4;9.7;8.5;8;6;7;6;"5";-1.5628;45.4
"11";19940411;50;4.6;8.1;10.5;11;9.8;1;6;1;5;"1";-1.5628;49.2
"12";19940412;50.4;4;9.8;12.3;13.2;10.6;9;5;7;7;"7";-1.3681;50
"13";19940413;42.4;5.7;6.9;7.4;9.3;8.5;7;7;8;7;"8";2.7362;50.4
"14";19940414;21.8;2.6;7.1;7.6;7.2;5.8;4;5;7;7;"2";-1.2155;42.4
"15";19940415;40.8;5;5.5;6;6.1;6.9;7;8;8;7;"7";1.7101;21.8
"16";19940416;42.2;4.8;6.5;11.3;9.6;9.5;8;7;6;6;"0";4.6985;40.8
"17";19940417;61.2;7.1;7.9;9.1;9.5;8.1;8;7;7;8;"7";3.7622;42.2
"18";19940418;54.2;5.7;6.8;8.5;8.3;7.5;8;8;7;8;"7";5.1962;61.2
"19";19940419;34.6;5.1;6.4;8.1;9.4;8;8;8;7;8;"8";2.5712;54.2
"20";19940420;29.8;4.8;7.1;9.9;11.9;11.1;8;7;7;6;"7";-1.2856;34.6
"21";19940421;24.4;2.9;10.1;13.5;13.5;12.8;6;5;5;6;"6";0.8682;29.8
"22";19940422;52.2;4.3;11.7;17.4;18.9;16.7;1;5;7;7;"8";4.4995;24.4
"23";19940423;30.2;11;14.1;16.3;17.7;16.7;6;7;5;5;"2";-1.3892;52.2
"24";19940424;31.8;8.9;13;15.9;14.5;13.1;6;6;5;6;"7";-1.2155;30.2
"25";19940425;23.4;4.2;11;13.9;13.2;12;4;3;7;8;"8";-3;31.8
"26";19940426;20.2;12.1;13;14.8;14.3;13.7;8;8;8;8;"8";-1.7101;23.4
"27";19940427;19.2;12.3;13.4;16.7;20.1;19.5;8;8;7;3;"4";-1.9284;20.2
"28";19940428;25;8.9;16.6;21.3;22.8;21.6;6;6;5;4;"6";1.5321;19.2
"29";19940429;47.4;11.2;19.2;23.8;25.7;24.9;3;5;4;3;"3";1.5;25
"30";19940430;27;11.3;11.5;13.7;17;14.5;7;8;8;3;"6";-2;47.4
"31";19940501;73.6;10.9;16.4;20.5;22;20.3;3;1;5;4;"2";4.924;27
"32";19940502;62;9.5;15.6;20;21.7;20.6;1;2;2;1;"5";2.5981;73.6
"33";19940503;40.4;10.6;16.2;17.3;18;14.6;1;7;7;4;"6";-4.6985;62
"34";19940504;35.4;9.8;11.8;15.2;14.6;12.7;2;7;3;6;"6";-8;40.4
"35";19940505;18;8.4;12.8;14.6;14.9;14.2;8;7;8;8;"7";-2.5712;35.4
"36";19940506;16;12.1;12.9;14.7;14.9;14.7;8;8;8;8;"8";-0.8682;18
"37";19940507;29;11.7;12.5;12.4;10.8;10.5;8;8;8;8;"7";-1.0261;16
"38";19940508;35.6;7.4;12.7;14.2;14.9;13.8;6;7;7;7;"6";-1.0261;29
"39";19940509;37.2;7.5;13.5;16.2;17.3;14.8;8;7;7;7;"6";-0.6428;35.6
"40";19940510;34.8;8.4;14.7;16.6;17.8;18;4;5;7;6;"2";-0.6946;37.2
"41";19940511;65.6;10.7;16.7;19.4;18.7;14.2;6;3;8;8;"8";5.9088;34.8
"42";19940512;63.2;8.8;14.1;16.3;18.5;17.3;2;6;5;4;"2";3.2139;65.6
"43";19940513;78.4;11.4;16.8;20.4;22.6;21.6;1;1;1;4;"6";7;63.2
"44";19940514;54.2;13.3;13.3;16.7;19.7;17.7;8;8;6;4;"2";-3.8567;78.4
"45";19940515;62.2;10.1;17.4;20.5;21;20.6;1;1;6;7;"1";-1.2155;54.2
"46";19940516;22.6;11.7;14.2;14.7;15.6;15.7;7;8;8;8;"7";2.9544;62.2
"47";19940517;40.2;11.5;13;16.2;16.5;14.1;8;7;6;6;"7";-6.8944;22.6
"48";19940518;21.4;10.4;11.3;11.9;11.7;11.2;8;8;8;8;"8";-2.5712;40.2
"49";19940519;44;10.5;12.5;13.7;16.1;14.5;8;7;8;7;"8";3.0642;21.4
"50";19940520;32.8;11.6;15;17.4;16.8;14.6;8;6;6;5;"7";-3.5;44
"51";19940521;43;13;13.5;14.3;16.4;14.6;7;7;6;6;"6";-6.0622;32.8
"52";19940522;43.2;12.8;15.8;18.6;17.8;16;7;7;7;7;"7";-5.1423;43
"53";19940523;47;10.3;15.5;19;19.9;18.7;4;5;5;6;"8";-1.9284;43.2
"54";19940524;35.4;13.1;14.7;17.5;16.4;13.8;7;8;7;7;"7";-3;47
"55";19940525;50.4;11.7;13.9;18.3;16.3;17.1;7;8;6;7;"7";1.7101;35.4
"56";19940526;54.8;11.8;15.1;16.1;14.9;14.5;8;6;6;7;"6";-3.8567;50.4
"57";19940527;52;10.6;12.6;14.9;16.9;15;8;8;8;7;"8";5;54.8
"58";19940528;54.6;10.2;12.9;16.9;17.8;14.5;8;7;7;7;"8";2;52
"59";19940529;58.6;11.1;12.3;15.8;16.7;16;7;8;6;6;"7";4.6985;54.6
"60";19940530;63.2;9.9;14.3;17;18.5;18.2;3;2;1;1;"1";5.1962;58.6
"61";19940531;103.8;10.6;17.8;21.9;23.9;23.3;0;0;0;0;"0";3.7588;63.2
"62";19940601;81;16.2;20.4;25.7;23.7;18.9;3;5;7;3;"8";-4.6985;103.8
"63";19940602;51.6;13.2;16.6;17.2;17;16;8;7;6;7;"7";-3.5;81
"64";19940603;46.2;13;15.1;16.5;15.8;13.2;5;7;5;3;"3";-8.6603;51.6
"65";19940604;49.4;10.9;11.8;14.6;17.3;14.9;8;8;8;6;"7";-6.1284;46.2
"66";19940605;45.8;9.8;14.1;16.1;18.4;17.6;1;5;5;5;"7";-4;49.4
"67";19940606;24.4;14;16.4;19.4;21.7;21.7;8;7;8;5;"3";-3.9392;45.8
"68";19940607;42.8;12.9;16.4;21;23.5;20.6;8;6;5;4;"1";-0.9848;24.4
"69";19940608;46.4;12.4;14.8;17.5;17.1;14.5;7;7;7;3;"1";-4;42.8
"70";19940609;40.2;10.1;14.5;16.8;19.3;18;6;6;6;2;"3";0;46.4
"71";19940610;43.4;11.1;14.6;15.6;14.7;14.7;5;7;7;7;"4";-1.2155;40.2
"72";19940611;73.2;9.9;15.4;16.1;17.3;16.5;3;3;7;6;"2";2.0521;43.4
"73";19940612;79;10.3;15.7;19.7;19.8;18.9;1;1;2;3;"6";4.5963;73.2
"74";19940613;91.8;11.4;17.4;20.7;22.3;20.7;4;5;5;4;"2";1.3681;79
