REG,CHEFLIEU,TNCC,NCC,NCCENR,LIBELLE,GR_REG
1,97105,3,GUADELOUPE,Guadeloupe,Guadeloupe,DOM
2,97209,3,MARTINIQUE,Martinique,Martinique,DOM
3,97302,3,GUYANE,Guyane,Guyane,DOM
4,97411,0,LA REUNION,La Réunion,La Réunion,DOM
6,97608,0,MAYOTTE,Mayotte,Mayotte,DOM
11,75056,1,ILE DE FRANCE,Île-de-France,Île-de-France,IDF
24,45234,2,CENTRE VAL DE LOIRE,Centre-Val de Loire,Centre-Val de Loire,NO
27,21231,0,BOURGOGNE FRANCHE COMTE,Bourgogne-Franche-Comté,Bourgogne-Franche-Comté,NE
28,76540,0,NORMANDIE,Normandie,Normandie,NO
32,59350,4,HAUTS DE FRANCE,Hauts-de-France,Hauts-de-France,NE
44,67482,2,GRAND EST,Grand Est,Grand Est,NE
52,44109,4,PAYS DE LA LOIRE,Pays de la Loire,Pays de la Loire,NO
53,35238,0,BRETAGNE,Bretagne,Bretagne,NO
75,33063,3,NOUVELLE AQUITAINE,Nouvelle-Aquitaine,Nouvelle-Aquitaine,SO
76,31555,1,OCCITANIE,Occitanie,Occitanie,SO
84,69123,1,AUVERGNE RHONE ALPES,Auvergne-Rhône-Alpes,Auvergne-Rhône-Alpes,SE
93,13055,0,PROVENCE ALPES COTE D AZUR,Provence-Alpes-Côte d'Azur,Provence-Alpes-Côte d'Azur,SE
94,2A004,0,CORSE,Corse,Corse,SE
