"Libellé";"Taux d'occupation dans l'hôtellerie - France";"Codes"
"idBank";"010599344";""
"Dernière mise à jour";"22/07/2021 12:00";""
"Période";"";""
"2021-05";"33.0";"P"
"2021-04";"25.6";"A"
"2021-03";"33.4";"A"
"2021-02";"33.7";"A"
"2021-01";"31.9";"A"
"2020-12";"29.6";"A"
"2020-11";"25.1";"A"
"2020-10";"36.6";"A"
"2020-09";"45.1";"A"
"2020-08";"59.5";"A"
"2020-07";"52.0";"A"
"2020-06";"35.0";"A"
"2020-05";"19.1";"A"
"2020-04";"14.9";"A"
"2020-03";"";"O"
"2020-02";"";"O"
"2020-01";"";"O"
"2019-12";"53.0";"A"
"2019-11";"58.7";"A"
"2019-10";"63.8";"A"
"2019-09";"70.7";"A"
"2019-08";"69.2";"A"
"2019-07";"69.4";"A"
"2019-06";"72.9";"A"
"2019-05";"60.6";"A"
"2019-04";"62.2";"A"
"2019-03";"57.9";"A"
"2019-02";"54.8";"A"
"2019-01";"51.1";"A"
"2018-12";"52.6";"A"
"2018-11";"58.5";"A"
"2018-10";"64.1";"A"
"2018-09";"70.5";"A"
"2018-08";"69.2";"A"
"2018-07";"69.4";"A"
"2018-06";"70.1";"A"
"2018-05";"62.4";"A"
"2018-04";"60.0";"A"
"2018-03";"59.2";"A"
"2018-02";"54.8";"A"
"2018-01";"51.4";"A"
"2017-12";"53.2";"A"
"2017-11";"57.7";"A"
"2017-10";"62.7";"A"
"2017-09";"69.2";"A"
"2017-08";"67.6";"A"
"2017-07";"68.3";"A"
"2017-06";"68.2";"A"
"2017-05";"60.9";"A"
"2017-04";"60.0";"A"
"2017-03";"56.7";"A"
"2017-02";"52.7";"A"
"2017-01";"50.1";"A"
"2016-12";"50.2";"A"
"2016-11";"53.7";"A"
"2016-10";"60.2";"A"
"2016-09";"65.9";"A"
"2016-08";"63.8";"A"
"2016-07";"64.9";"A"
"2016-06";"66.9";"A"
"2016-05";"60.6";"A"
"2016-04";"54.6";"A"
"2016-03";"55.8";"A"
"2016-02";"50.3";"A"
"2016-01";"46.5";"A"
"2015-12";"48.3";"A"
"2015-11";"50.5";"A"
"2015-10";"60.2";"A"
"2015-09";"68.0";"A"
"2015-08";"67.6";"A"
"2015-07";"66.8";"A"
"2015-06";"68.8";"A"
"2015-05";"60.8";"A"
"2015-04";"57.0";"A"
"2015-03";"54.2";"A"
"2015-02";"51.8";"A"
"2015-01";"47.8";"A"
"2014-12";"51.4";"A"
"2014-11";"52.2";"A"
"2014-10";"61.1";"A"
"2014-09";"67.6";"A"
"2014-08";"68.1";"A"
"2014-07";"65.5";"A"
"2014-06";"67.8";"A"
"2014-05";"60.2";"A"
"2014-04";"57.9";"A"
"2014-03";"53.2";"A"
"2014-02";"51.0";"A"
"2014-01";"46.9";"A"
"2013-12";"50.0";"A"
"2013-11";"53.9";"A"
"2013-10";"60.2";"A"
"2013-09";"66.9";"A"
"2013-08";"67.3";"A"
"2013-07";"66.7";"A"
"2013-06";"68.0";"A"
"2013-05";"61.6";"A"
"2013-04";"55.7";"A"
"2013-03";"55.1";"A"
"2013-02";"51.4";"A"
"2013-01";"47.5";"A"
"2012-12";"50.2";"A"
"2012-11";"55.2";"A"
"2012-10";"60.6";"A"
"2012-09";"67.9";"A"
"2012-08";"66.2";"A"
"2012-07";"67.3";"A"
"2012-06";"68.4";"A"
"2012-05";"60.5";"A"
"2012-04";"57.8";"A"
"2012-03";"56.7";"A"
"2012-02";"51.3";"A"
"2012-01";"49.3";"A"
"2011-12";"50.5";"A"
"2011-11";"55.1";"A"
"2011-10";"61.7";"A"
"2011-09";"69.3";"A"
"2011-08";"67.3";"A"
"2011-07";"68.1";"A"
"2011-06";"70.1";"A"
"2011-05";"62.7";"A"
"2011-04";"58.7";"A"
"2011-03";"56.2";"A"
"2011-02";"51.9";"A"
"2011-01";"48.9";"A"
